                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.63984,                0.53723,                 1.1512,                0.84458,                0.94444,                0.95953,                0.67545,                 1.1399,                0.65276,                 1.7847,              0.0013928,              0.0013928,              0.0013928
                     94,                0.63274,                0.55139,                 1.1176,                0.75814,                0.94444,                0.93206,                 0.6465,                  1.112,                0.78258,                 1.7551,              0.0013862,              0.0013862,              0.0013862
                     95,                0.65945,                0.56931,                 1.2401,                0.89824,                0.98137,                0.97459,                0.68268,                 1.0002,                0.73749,                 1.6488,              0.0013796,              0.0013796,              0.0013796
                     96,                0.65557,                0.59559,                 1.2025,                0.88963,                0.94444,                0.97213,                0.70377,                0.93856,                0.72504,                 1.5774,               0.001373,               0.001373,               0.001373
                     97,                 0.6687,                0.60693,                 1.2025,                0.89654,                      1,                0.96812,                0.69265,                 1.0737,                0.70269,                  1.668,              0.0013664,              0.0013664,              0.0013664
                     98,                0.63611,                0.52254,                 1.1658,                 0.9435,                      1,                0.98921,                0.66355,                  1.078,                0.76662,                 1.6198,              0.0013598,              0.0013598,              0.0013598
                     99,                0.60393,                0.56589,                 1.1481,                0.93999,                      1,                0.98921,                 0.7177,                0.99158,                0.62705,                 1.5587,              0.0013532,              0.0013532,              0.0013532
                    100,                0.62184,                0.56422,                 1.1379,                      1,                0.93509,                   0.99,                0.71421,                 1.0595,                0.65209,                 1.6316,              0.0013466,              0.0013466,              0.0013466
                    101,                0.60492,                0.51493,                 1.1417,                0.89302,                      1,                0.98056,                0.69653,                 1.0673,                0.72765,                 1.6873,                0.00134,                0.00134,                0.00134
                    102,                0.61255,                0.55527,                 1.1444,                0.81737,                0.99477,                 0.9676,                0.65982,                 1.0825,                0.71402,                 1.7597,              0.0013334,              0.0013334,              0.0013334
                    103,                0.55313,                 0.4905,                 1.0923,                0.98267,                      1,                  0.995,                0.71059,                 1.0447,                0.60393,                 1.7827,              0.0013268,              0.0013268,              0.0013268
                    104,                0.56475,                 0.5099,                 1.1188,                0.94679,                0.98901,                0.99237,                0.72473,                0.83672,                 0.6303,                 1.4956,              0.0013202,              0.0013202,              0.0013202
                    105,                0.68758,                 0.5517,                 1.2308,                0.99592,                      1,                  0.995,                0.72284,                0.97823,                 0.5412,                 1.6987,              0.0013136,              0.0013136,              0.0013136
                    106,                0.56877,                 0.4892,                 1.1014,                 0.9439,                      1,                0.98921,                0.72779,                0.99606,                0.59379,                  1.623,               0.001307,               0.001307,               0.001307
                    107,                0.60817,                0.53991,                  1.148,                0.93877,                0.94444,                0.98452,                0.72169,                0.95852,                0.60672,                 1.5763,              0.0013004,              0.0013004,              0.0013004
                    108,                0.60855,                 0.5627,                 1.1653,                      1,                0.83032,                0.96456,                 0.7635,                0.85282,                0.63542,                 1.4991,              0.0012938,              0.0012938,              0.0012938
                    109,                0.60349,                0.49161,                 1.1354,                0.89449,                0.94212,                0.96908,                0.76882,                0.84852,                0.68588,                 1.4157,              0.0012872,              0.0012872,              0.0012872
                    110,                0.61273,                0.49855,                 1.1535,                0.94074,                0.88225,                0.96815,                0.70902,                0.93894,                0.69347,                 1.5088,              0.0012806,              0.0012806,              0.0012806
                    111,                0.56593,                0.47704,                 1.1097,                0.93476,                0.88889,                0.93048,                 0.6386,                 1.0501,                0.74607,                 1.7102,               0.001274,               0.001274,               0.001274
                    112,                 0.5667,                0.51917,                 1.1152,                0.98048,                0.77778,                  0.891,                0.60172,                 1.1506,                0.92983,                 1.8629,              0.0012674,              0.0012674,              0.0012674
                    113,                0.60654,                0.51167,                 1.1413,                0.96006,                0.77778,                0.85545,                0.54571,                  1.306,                 1.1575,                 2.1304,              0.0012608,              0.0012608,              0.0012608
                    114,                 0.5809,                0.49153,                  1.113,                0.93494,                0.79915,                0.90974,                0.54534,                 1.3565,                 1.0218,                 2.1461,              0.0012542,              0.0012542,              0.0012542
                    115,                0.60389,                0.50687,                 1.1398,                0.97589,                0.94444,                0.95684,                0.62337,                 1.1362,                0.65426,                 1.7663,              0.0012476,              0.0012476,              0.0012476
                    116,                 0.5524,                0.48644,                 1.1131,                0.99385,                0.94444,                0.96415,                0.66476,                 1.0055,                0.61679,                 1.5799,               0.001241,               0.001241,               0.001241
                    117,                0.57337,                0.49539,                  1.118,                 0.9938,                0.94444,                0.98591,                0.72588,                0.96264,                0.54081,                 1.5432,              0.0012344,              0.0012344,              0.0012344
                    118,                0.57525,                0.49888,                 1.1281,                      1,                0.99474,                  0.995,                0.73067,                0.92226,                0.56665,                 1.4989,              0.0012278,              0.0012278,              0.0012278
                    119,                0.56672,                0.46574,                 1.1149,                0.94687,                0.99058,                0.98921,                0.73519,                0.98037,                0.61775,                 1.5587,              0.0012212,              0.0012212,              0.0012212
                    120,                0.56788,                0.47449,                 1.1181,                0.94477,                      1,                0.98921,                0.71888,                  1.116,                0.63448,                 1.6884,              0.0012146,              0.0012146,              0.0012146
                    121,                 0.6204,                0.52254,                 1.1763,                0.94182,                0.94444,                0.98258,                0.68621,                 1.0495,                0.63925,                  1.684,               0.001208,               0.001208,               0.001208
                    122,                0.60206,                0.52655,                 1.1211,                0.92166,                0.94444,                0.94222,                0.68595,                 1.0243,                0.69976,                 1.6952,              0.0012014,              0.0012014,              0.0012014
                    123,                0.62573,                0.50284,                 1.1747,                0.92047,                0.88889,                0.94479,                0.67208,                 1.0599,                0.87862,                 1.7701,              0.0011948,              0.0011948,              0.0011948
                    124,                 0.5831,                0.46373,                 1.1178,                0.92376,                0.88889,                0.93222,                0.69025,                 1.0643,                0.91658,                 1.7086,              0.0011882,              0.0011882,              0.0011882
                    125,                0.59248,                0.50779,                 1.1097,                0.89327,                0.94444,                0.95764,                0.69707,                 1.0223,                0.73416,                 1.8161,              0.0011816,              0.0011816,              0.0011816
                    126,                0.58266,                 0.5119,                 1.1258,                0.98841,                0.94444,                0.97312,                0.68694,                 1.0408,                0.63434,                 1.7934,               0.001175,               0.001175,               0.001175
                    127,                0.53804,                0.46157,                 1.0927,                0.93452,                0.94444,                0.97628,                0.67722,                 1.1035,                0.61319,                 1.7668,              0.0011684,              0.0011684,              0.0011684
                    128,                0.59234,                0.49397,                 1.1355,                0.94285,                0.91725,                0.95452,                0.66569,                 1.0402,                0.82141,                  1.693,              0.0011618,              0.0011618,              0.0011618
                    129,                0.57835,                0.47616,                 1.1298,                      1,                0.88424,                0.94612,                0.65578,                   1.09,                0.79733,                 1.8436,              0.0011552,              0.0011552,              0.0011552
                    130,                 0.5433,                0.45842,                 1.0901,                0.99248,                0.88889,                0.95968,                0.67488,                 1.0667,                0.73324,                 1.7135,              0.0011486,              0.0011486,              0.0011486
                    131,                0.56477,                0.48757,                 1.1323,                0.98892,                0.88889,                0.98258,                0.69517,                 1.0151,                0.57491,                 1.5952,               0.001142,               0.001142,               0.001142
                    132,                0.53992,                  0.466,                 1.0856,                0.99838,                0.94444,                   0.99,                0.73202,                0.94169,                0.52069,                 1.5368,              0.0011354,              0.0011354,              0.0011354
                    133,                0.51664,                0.42378,                 1.0872,                      1,                0.93864,                   0.99,                 0.7326,                0.92861,                0.50925,                 1.4908,              0.0011288,              0.0011288,              0.0011288
                    134,                0.54358,                0.46531,                 1.1286,                0.99223,                0.94444,                0.98786,                 0.7771,                0.97331,                0.49433,                 1.5279,              0.0011222,              0.0011222,              0.0011222
                    135,                0.59905,                0.45834,                 1.1465,                0.99498,                0.94444,                0.99237,                0.74502,                0.94238,                0.56898,                 1.5011,              0.0011156,              0.0011156,              0.0011156
                    136,                0.64452,                0.51545,                 1.1942,                0.98254,                0.94444,                  0.981,                0.77677,                0.92707,                0.57634,                 1.4675,               0.001109,               0.001109,               0.001109
                    137,                0.57866,                0.50463,                 1.1289,                0.98545,                0.94444,                0.96868,                0.71062,                 1.0342,                0.61459,                 1.5904,              0.0011024,              0.0011024,              0.0011024
                    138,                0.58862,                0.49859,                  1.111,                0.99725,                0.94444,                  0.963,                0.72426,                 1.0415,                0.56275,                 1.6805,              0.0010958,              0.0010958,              0.0010958
                    139,                0.53901,                0.47718,                 1.1133,                0.97364,                0.94444,                0.96079,                0.72027,                 1.0127,                0.73712,                  1.665,              0.0010892,              0.0010892,              0.0010892
                    140,                0.55721,                0.49326,                 1.1061,                0.95229,                0.94444,                0.96231,                0.70099,                 1.0208,                 0.6775,                 1.7109,              0.0010826,              0.0010826,              0.0010826
                    141,                0.55606,                0.46172,                 1.1233,                0.99436,                0.94444,                0.97603,                  0.696,                 1.0567,                 0.5776,                 1.7982,               0.001076,               0.001076,               0.001076
                    142,                 0.5433,                0.47001,                 1.0747,                0.94226,                0.94444,                0.98591,                0.72446,                 1.0157,                0.57221,                   1.72,              0.0010694,              0.0010694,              0.0010694
                    143,                0.54283,                0.46341,                 1.0986,                0.93687,                0.94444,                0.98667,                0.71691,                 1.0194,                0.61077,                 1.7112,              0.0010628,              0.0010628,              0.0010628
                    144,                 0.5235,                0.47008,                 1.0839,                0.93762,                0.94444,                 0.9808,                0.69412,                 1.0144,                0.59198,                 1.7217,              0.0010562,              0.0010562,              0.0010562
                    145,                0.53104,                0.43457,                 1.0981,                0.93502,                0.94444,                0.97917,                0.71791,                 1.0027,                 0.5717,                 1.6381,              0.0010496,              0.0010496,              0.0010496
                    146,                0.52437,                0.45183,                 1.1088,                0.98705,                0.94444,                0.98591,                0.69198,                0.95678,                0.57583,                 1.6077,               0.001043,               0.001043,               0.001043
                    147,                0.52755,                0.45522,                  1.088,                      1,                0.94375,                  0.963,                0.67674,                 1.0233,                0.64985,                 1.6642,              0.0010364,              0.0010364,              0.0010364
                    148,                0.50787,                0.46405,                 1.0373,                0.93395,                0.88889,                0.93882,                0.68307,                0.93361,                0.66285,                 1.5053,              0.0010298,              0.0010298,              0.0010298
                    149,                0.50134,                0.42872,                 1.0692,                0.94403,                0.93747,                0.96619,                 0.7305,                0.87018,                0.60254,                 1.4579,              0.0010232,              0.0010232,              0.0010232
                    150,                0.46653,                0.39338,                 1.0566,                0.91647,                0.88889,                0.96409,                 0.7504,                0.86454,                 0.5641,                 1.4784,              0.0010166,              0.0010166,              0.0010166
                    151,                0.56094,                 0.4476,                 1.1059,                0.94029,                0.87544,                0.96409,                0.73768,                0.89472,                0.56838,                 1.5498,                0.00101,                0.00101,                0.00101
                    152,                0.50667,                0.45217,                 1.0516,                0.94444,                0.94439,                 0.9727,                  0.717,                0.93093,                0.57967,                 1.5716,              0.0010034,              0.0010034,              0.0010034
                    153,                0.50905,                0.42465,                  1.063,                0.94186,                0.94444,                 0.9727,                0.74003,                0.92625,                0.55247,                  1.607,              0.0009968,              0.0009968,              0.0009968
